Idioma,TAM_Milhoes,ARPPU_USD,LTV_USD,CAC_USD,Ano1_Revenue_K,Ano2_Revenue_K,Complexidade_Tecnica,Payback_Meses,Rank_Global,Investimento_K,Market_Readiness,Competicao_Level
Espanhol,120,20,60,20,400,1200,2,8,1,45,9,9
Francês,85,20,65,20,300,720,2,6,2,40,8,8
Alemão,70,25,70,20,250,600,3,7,3,50,8,8
Mandarim,45,30,50,25,125,400,8,18,4,85,7,6
Japonês,32,20,55,22,160,480,8,15,5,80,7,5
Italiano,35,18,45,16,90,216,2,12,7,35,6,7
Português,25,15,30,15,100,300,1,10,6,25,7,6
Árabe,8,20,45,30,80,240,9,24,8,90,6,4
Turco,3,20,40,18,40,120,4,20,9,35,5,3
Indonésio,1.5,20,25,15,20,60,3,30,10,30,4,2
